x_coordinate,y_coordinate,timestamp,swipe_id
851, 1491, 21595.674641, 15
853, 1401, 21595.685566, 15
855, 1359, 21595.690928, 15
858, 1313, 21595.696355, 15
863, 1266, 21595.701898, 15
871, 1213, 21595.707300, 15
885, 1156, 21595.712660, 15
886, 943, 21597.776928, 16
877, 950, 21597.800906, 16
869, 961, 21597.806274, 16
860, 974, 21597.812128, 16
852, 990, 21597.817410, 16
844, 1010, 21597.822605, 16
838, 1031, 21597.828207, 16
831, 1055, 21597.833579, 16
826, 1078, 21597.838866, 16
822, 1102, 21597.844220, 16
817, 1138, 21597.849753, 16
814, 1171, 21597.855063, 16
811, 1210, 21597.860526, 16
808, 1254, 21597.866161, 16
807, 1302, 21597.871433, 16
808, 1418, 21597.882292, 16
810, 1484, 21597.887661, 16
359, 569, 21600.635003, 17
864, 1666, 21602.559196, 18
847, 1642, 21602.580633, 18
827, 1609, 21602.585983, 18
811, 1572, 21602.591378, 18
797, 1527, 21602.596897, 18
786, 1479, 21602.602372, 18
781, 1429, 21602.607699, 18
786, 1305, 21602.618608, 18
807, 1227, 21602.624194, 18
851, 1697, 21603.293373, 19
850, 1691, 21603.374620, 19
851, 1656, 21603.396316, 19
852, 1644, 21603.401746, 19
853, 1634, 21603.407210, 19
854, 1625, 21603.412613, 19
855, 1619, 21603.418135, 19
856, 1614, 21603.423677, 19
857, 1608, 21603.429048, 19
858, 1605, 21603.434329, 19
859, 1601, 21603.445473, 19
860, 1595, 21603.494215, 19
859, 1580, 21603.543143, 19
858, 1563, 21603.553979, 19
854, 1550, 21603.559422, 19
850, 1537, 21603.565060, 19
846, 1519, 21603.570340, 19
841, 1498, 21603.575794, 19
835, 1477, 21603.581262, 19
828, 1448, 21603.586632, 19
822, 1416, 21603.592077, 19
816, 1378, 21603.597590, 19
813, 1334, 21603.602981, 19
814, 1288, 21603.608386, 19
824, 1240, 21603.613949, 19
843, 1190, 21603.619233, 19
872, 1128, 21603.624665, 19
931, 1032, 21603.630119, 19
774, 1630, 21604.891516, 20
766, 1616, 21604.929629, 20
755, 1598, 21604.934932, 20
743, 1573, 21604.940413, 20
731, 1548, 21604.946011, 20
719, 1517, 21604.951315, 20
707, 1482, 21604.956740, 20
699, 1443, 21604.962222, 20
693, 1395, 21604.967571, 20
694, 1333, 21604.973208, 20
703, 1252, 21604.978526, 20
731, 1129, 21604.983908, 20
833, 1504, 21605.864853, 21
826, 1486, 21605.908193, 21
818, 1461, 21605.913845, 21
813, 1438, 21605.919135, 21
808, 1409, 21605.924533, 21
804, 1381, 21605.929986, 21
800, 1347, 21605.935413, 21
797, 1313, 21605.940819, 21
794, 1282, 21605.946348, 21
793, 1248, 21605.951755, 21
796, 1167, 21605.962713, 21
809, 1107, 21605.968128, 21
837, 1558, 21606.800168, 22
831, 1535, 21606.838088, 22
826, 1507, 21606.843571, 22
822, 1468, 21606.848935, 22
819, 1433, 21606.854310, 22
818, 1393, 21606.859849, 22
815, 1318, 21606.870654, 22
810, 1276, 21606.876098, 22
807, 1239, 21606.881545, 22
804, 1196, 21606.886967, 22
865, 1572, 21607.458270, 23
854, 1550, 21607.490460, 23
843, 1518, 21607.496156, 23
832, 1478, 21607.501465, 23
823, 1437, 21607.506841, 23
814, 1393, 21607.512262, 23
806, 1351, 21607.517711, 23
798, 1308, 21607.523101, 23
792, 1268, 21607.528624, 23
787, 1233, 21607.534311, 23
782, 1195, 21607.539659, 23
788, 1094, 21607.550532, 23
858, 1538, 21607.958426, 24
851, 1512, 21607.991082, 24
843, 1475, 21607.996366, 24
833, 1433, 21608.001780, 24
826, 1387, 21608.007366, 24
819, 1338, 21608.012694, 24
812, 1287, 21608.018180, 24
807, 1240, 21608.023543, 24
802, 1194, 21608.028931, 24
800, 1140, 21608.034341, 24
848, 1517, 21608.295285, 25
842, 1492, 21608.317123, 25
834, 1455, 21608.322503, 25
825, 1417, 21608.327997, 25
815, 1377, 21608.333430, 25
805, 1333, 21608.338804, 25
796, 1291, 21608.344384, 25
786, 1241, 21608.349693, 25
776, 1184, 21608.355197, 25
870, 1599, 21608.622012, 26
865, 1576, 21608.643364, 26
857, 1534, 21608.648750, 26
847, 1486, 21608.654200, 26
836, 1437, 21608.659718, 26
826, 1385, 21608.665065, 26
816, 1331, 21608.670556, 26
808, 1279, 21608.676133, 26
801, 1229, 21608.681381, 26
796, 1174, 21608.686729, 26
802, 1494, 21608.958913, 27
795, 1474, 21608.975075, 27
784, 1443, 21608.980444, 27
775, 1413, 21608.985909, 27
764, 1377, 21608.991540, 27
754, 1341, 21608.996784, 27
745, 1302, 21609.002131, 27
737, 1251, 21609.007629, 27
733, 1174, 21609.013025, 27
850, 1496, 21609.306778, 28
849, 1462, 21609.323166, 28
847, 1404, 21609.328469, 28
844, 1344, 21609.334032, 28
838, 1284, 21609.339283, 28
831, 1227, 21609.344771, 28
824, 1165, 21609.350172, 28
810, 1421, 21609.984691, 29
815, 1429, 21610.103754, 29
819, 1435, 21610.109173, 29
823, 1442, 21610.114576, 29
827, 1448, 21610.119955, 29
831, 1454, 21610.125625, 29
834, 1461, 21610.130869, 29
837, 1467, 21610.136500, 29
840, 1474, 21610.141956, 29
841, 1481, 21610.147395, 29
842, 1489, 21610.152605, 29
846, 1496, 21610.158108, 29
847, 1503, 21610.163441, 29
848, 1511, 21610.168899, 29
849, 1519, 21610.174502, 29
851, 1530, 21610.179824, 29
853, 1541, 21610.185199, 29
855, 1550, 21610.190692, 29
857, 1560, 21610.196077, 29
